screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
jairbolsonaro,2019-11-01T00:30:19Z,"De volta ao Brasil, após viagem de negócios pela Ásia e Oriente Médio, segue a live de quinta-feira sobre assuntos da semana. Link no YouTube: https://t.co/7UsUv3QEBX",363,1975,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1190063483779465219
jairbolsonaro,2019-10-31T21:31:36Z,"O @MInfraestrutura , junto com o @DNIToficial e o @exercitooficial ,está semana, seguem as obras de reparos e pavimentação de asfalto em todo país, com velocidade acelerada. Como por exemplo, nas BR101/RJ, BR116/RS, BR304/RN, BR153/TO, BRs273 e 158/PR, BR316/PE e BR419/MS. https://t.co/MdClOKtPQS",314,1498,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1190018506533814307
jairbolsonaro,2019-10-31T20:28:18Z,É uma enorme satisfação ver a alegria dessa molecada e ter certeza que nosso país tem jeito! Eles são nosso futuro! https://t.co/u0md46KIni,93,563,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1190002578521767936
jairbolsonaro,2019-10-31T19:00:44Z,"A Baia de Angra dos Reis pode ser a nossa ""Cancún"". Servir à Pátria juntamente com os demais Poderes. A lado do povo faremos do Brasil uma grande Nação. https://t.co/jt1fh7ocqw https://t.co/uay1wMojTt",313,1637,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189980543380836356
jairbolsonaro,2019-10-31T17:10:23Z,"Bahia: concessão da Ferrovia Oeste-Leste, trecho Caetité-Ilhéus. 2• leilão de ferrovia de nosso Governo previsto para 1• semestre de 2020. Variação dos transportes modais favorecem à toda sociedade, desde barateamento dos produtos a consumidores e produtores. @tarcisiogdf https://t.co/mqHwMWveK2",140,738,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189952770088013824
jairbolsonaro,2019-10-31T11:52:19Z,RT @SF_Moro: Prosseguem os recordes de apreensão de cocaína. https://t.co/ViY3oEuxMT,6478,0,,SF_Moro,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189872726091141121
jairbolsonaro,2019-10-30T22:57:59Z,@Pauloeuaqui Kkkkkk,1,29,Pauloeuaqui,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,,1189677859176095744
jairbolsonaro,2019-10-30T22:53:23Z,"Risco-Brasil chega a seu menor patamar desde 2013, inflação controlada, selic em mínima histórica e investidores confiantes. A empregabilidade cresce e os crimes diminuem. São dados oficiais. Apenas 10 meses de Governo! Vencemos e estamos mudando o Brasil para melhor!",1074,4714,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189676703204937729
jairbolsonaro,2019-10-30T20:12:46Z,E CONHECEREIS A VERDADE E A VERDADE VOS LIBERTARÁ! JOÃO 8:32 https://t.co/qSG34ajhAr,1255,4409,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189636282227531776
jairbolsonaro,2019-10-30T18:13:02Z,"Seguimos ampliando as possibilidades, bem como desburocratizando e abrindo concorrência para atendimento dos pleitos do consumidor. Muito mais está por vir! Lembrando que são menos de 11 meses de governo. https://t.co/qkC4gEZaIY",126,727,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189606148267229184
jairbolsonaro,2019-10-30T18:12:11Z,O intuito é que as empresas aéreas se sintam confiantes para que o próximo passo seja a breve entrada no mercado doméstico barateando também os voos nacionais.,208,1153,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189605936958189568
jairbolsonaro,2019-10-30T18:11:04Z,O Ministro Capitão @tarcisiogdf explana os feitos realizados na parte de aeroportos do Brasil e os que estão por vir. Vale lembrar que a entrada de companhias estrangeiras low coast no mercado brasileiro para voos internacionais baratearam os trechos que realizam em média 23%. https://t.co/6bGVWNCJLs,0,0,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189605656195731457
jairbolsonaro,2019-10-30T16:37:18Z,"RT @CarlosBolsonaro: A pedido da @VEJA ! Não se preocupem, abutres, disponibilizo também o áudio da ligação feita no dia 14/03/2018 para a casa 58 e 36, tempos antes e depois da ligação que realmente importa, feita para a casa 65, às 17:13. O que dirão agora? íntegra: https://t.co/fT0ujToQS2 https://t.co/gagehSAr7g",1574,0,,CarlosBolsonaro,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189582059016216577
jairbolsonaro,2019-10-30T14:04:25Z,"RT @CarlosBolsonaro: A Globo, sabendo dos fatos e podendo esclarecê-los, preferiu levantar suspeitas contra o Presidente e alimentar narrativas criminosas. Um simples acesso aos registros internos do Condomínio mostra que no dia 14/03/2018 NENHUMA solicitação de entrada foi feita para a casa 58. https://t.co/2nyFYqcwRk",2780,0,,CarlosBolsonaro,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189543583302541312
jairbolsonaro,2019-10-30T12:03:35Z,https://t.co/i0zHNG3G3O,147,678,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,,1189513175210876928
jairbolsonaro,2019-10-30T10:12:56Z,https://t.co/FiFjyCxbFA,284,1370,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,,1189485327179759616
jairbolsonaro,2019-10-30T01:32:42Z,CANALHAS! https://t.co/THbGVEbasE,834,3418,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189354408141840387
jairbolsonaro,2019-10-30T01:22:48Z,LIVE: Mais uma matéria porca da Globo. Caso Marielle. https://t.co/GVW7KtWPVX,11,107,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189351917547339777
jairbolsonaro,2019-10-29T21:49:24Z,"Entre as obras de infraestrutura está a ferrovia Ferrogrão, que liga MT ao PA. O aporte estimulará outros investimentos. O Governo BR trabalha em conjunto com o fundo na facilitação de iniciativas, continuando a simplificação da legislação e outras ações favoráveis ao crescimento",131,708,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189298211493699585
jairbolsonaro,2019-10-29T21:46:15Z,"O fundo soberano da Arábia Saudita vai investir até US$ 10 bilhões em projetos no Brasil, cerca de R$ 40 bilhões. O anúncio foi feito pelos ministros @onyxlorenzoni (@casacivilbr ) e @ernestofaraujo (Relações Exteriores).",85,550,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189297418367655936
jairbolsonaro,2019-10-29T18:20:27Z,"Crescimento se dá devido à MP da liberdade econômica, aprovação da lei trabalho temporário, liberação do FGTS, PIS/PASEP, confiabilidade do mercado e desburocratizações acontecendo, iniciativas do nosso Governo. Seguimos!",92,474,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189245629488390145
jairbolsonaro,2019-10-29T18:19:48Z,"O varejo prevê o maior crescimento de vendas dos últimos 6 anos para o Natal, segundo dados da Confederação Nacional do Comércio de Bens, Serviços e Turismo (CNC). A estimativa é arrecadar R$ 35,9 bilhões, o que representa 4,8% mais do que no ano passado. @AgoraNoticiasBr",224,1068,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189245465314975744
jairbolsonaro,2019-10-29T16:09:39Z,"Konstantin Novoselov, prêmio Nobel de Física/2010, fala sobre a combinação nióbio/grafeno. https://t.co/dh823nzhR4 https://t.co/Z4b9IbFWdQ",101,498,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189212709151264774
jairbolsonaro,2019-10-29T11:31:15Z,"Dados da Organização para a Cooperação e Desenvolvimento Econômico (OCDE), indicam um aumento do fluxo de investimentos para o Brasil. A alta no caso brasileiro vai no sentido contrário à tendência registrada em algumas das principais economias do mundo. Estamos no caminho certo!",126,707,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189142651125293057
jairbolsonaro,2019-10-29T11:30:40Z,"A economia do Brasil recebeu US$ 28 bilhões em investimentos estrangeiros nos primeiros seis meses de 2019. O resultado faz do governo Jair Bolsonaro o quarto principal destino do fluxo de capital entre os países do G-20, o grupo das maiores economias do mundo.",337,1639,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189142502621827072
jairbolsonaro,2019-10-29T10:03:45Z,"Mubadala é um dos dois grandes fundos soberanos dos Emirados Árabes Unidos. Intenção é investir em portos, estradas, mineração, imóveis e entretenimento. @renovamidia",25,146,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189120630626701313
jairbolsonaro,2019-10-29T10:03:18Z,"Fundo bilionário dos Emirados elevará investimentos no Brasil. “Estamos assistindo a uma transição para um ambiente incrivelmente amigável para investidores”, disse empresário árabe. Waleed Al Muhairi, vice-presidente do grupo Mubadala, pretende elevar investimentos no Brasil. https://t.co/q8dBKwLLNi",98,528,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1189120515862122496
jairbolsonaro,2019-10-28T22:55:50Z,"Importante ressaltar que permanecemos com o mesmo objetivo: colocar o Brasil em lugar destaque no mundo, respeitando a vontade de nossa sociedade majoritariamente conservadora e preservando os valores de nossa nação. Viva o Brasil!",167,907,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188952543742844929
jairbolsonaro,2019-10-28T22:47:54Z,"- Há um ano, a minha eleição. Em 10 meses de governo:

MAIS DE 760 MIL EMPREGOS FORMAIS GERADOS;
MENOS 22% DE ASSASSINATOS, quase 8 mil vidas salvas;
MENOS DE 12% DE ESTUPROS;

- Estamos devolvendo a dignidade que a esquerda tirou dos brasileiros! 👍🇧🇷",737,3372,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷",Twitter for iPhone,pt,1188950546851516419
